Date	Open	High	Low	Close	Volume
11-Jun-13	163.3	164.54	162.74	163.1	158470476
10-Jun-13	165.31	165.4	164.37	164.8	105667060
7-Jun-13	163.85	164.95	163.14	164.8	188337725
6-Jun-13	161.2	162.74	160.25	162.73	200225418
5-Jun-13	163.09	163.42	161.13	161.27	211737712
4-Jun-13	164.44	165.1	162.73	163.56	157631425
3-Jun-13	163.83	164.46	162.66	164.35	168390676
31-May-13	165.37	166.31	163.13	163.44	176850020
30-May-13	165.35	166.59	165.22	165.83	107793730
29-May-13	165.42	165.8	164.34	165.22	160363334
28-May-13	167.04	167.78	165.81	166.3	143679738
24-May-13	164.47	165.38	163.98	165.31	151573867
23-May-13	164.16	165.91	163.94	165.45	211064320
22-May-13	167.34	169.07	165.17	165.93	240164342
21-May-13	167.08	167.8	166.5	167.17	95804190
20-May-13	166.78	167.58	166.61	166.93	85071182
17-May-13	165.95	167.04	165.73	166.94	129801000
16-May-13	165.78	166.36	165.09	165.34	109913544
15-May-13	164.96	166.45	164.91	166.12	120718433
14-May-13	163.67	165.35	163.67	165.23	119000837
13-May-13	163.2	163.81	162.82	163.54	81843160
10-May-13	162.99	163.55	162.51	163.41	103202902
9-May-13	163.27	163.7	162.47	162.88	106738550
8-May-13	162.42	163.39	162.33	163.34	97419172
7-May-13	162.13	162.65	161.67	162.6	90359178
6-May-13	161.49	162.01	161.42	161.78	66882091
3-May-13	161.14	161.88	159.78	161.37	144202220
2-May-13	158.68	159.89	158.53	159.75	96407564
1-May-13	159.33	159.41	158.1	158.28	138874120
30-Apr-13	159.27	159.72	158.61	159.68	116010614
29-Apr-13	158.67	159.65	158.42	159.3	88572702
26-Apr-13	158.33	158.6	157.73	158.24	95918776
25-Apr-13	158.34	159.27	158.1	158.52	131060567
24-Apr-13	157.83	158.3	157.54	157.88	96781189
23-Apr-13	156.95	157.93	156.17	157.78	166141269
22-Apr-13	155.78	156.54	154.75	156.17	106553422
19-Apr-13	154.5	155.55	154.12	155.48	149687552
18-Apr-13	155.37	155.41	153.55	154.14	167583106
17-Apr-13	156.29	156.32	154.28	155.11	226834743
16-Apr-13	156.29	157.49	155.91	157.41	147507796
15-Apr-13	158	158.13	155.1	155.12	217258928
12-Apr-13	158.68	159.04	157.92	158.8	116359817
11-Apr-13	158.7	159.71	158.54	159.19	110142479
10-Apr-13	157.17	158.87	157.13	158.67	135711015
9-Apr-13	156.5	157.32	155.98	156.75	101922102
8-Apr-13	155.16	156.22	154.75	156.21	86571104
5-Apr-13	153.95	155.35	153.77	155.16	159665917
4-Apr-13	155.43	156.17	155.09	155.86	131884920
3-Apr-13	156.91	157.03	154.82	155.23	154167332
2-Apr-13	156.61	157.21	156.37	156.82	101504286
1-Apr-13	156.59	156.91	155.67	156.05	99194043
28-Mar-13	156.09	156.85	155.75	156.67	102932783
27-Mar-13	155.26	156.24	155	156.19	99950532
26-Mar-13	155.59	156.23	155.42	156.19	86856545
25-Mar-13	156.01	156.27	154.35	154.95	151322280
22-Mar-13	154.85	155.6	154.73	155.6	111163530
21-Mar-13	154.76	155.64	154.1	154.36	128604916
20-Mar-13	155.52	155.95	155.26	155.69	113759222
19-Mar-13	155.3	155.51	153.59	154.61	167567263
18-Mar-13	154.34	155.64	154.2	154.97	126704266
15-Mar-13	155.85	156.04	155.31	155.83	138601089
14-Mar-13	156.31	156.8	155.91	156.73	126329853
13-Mar-13	155.76	156.12	155.23	155.9	92550856
12-Mar-13	155.92	156.1	155.21	155.68	105755706
11-Mar-13	155.32	156.04	155.13	156.03	83746703
8-Mar-13	155.46	155.65	154.66	155.44	123487628
7-Mar-13	154.7	154.98	154.52	154.78	86101309
6-Mar-13	154.84	154.92	154.16	154.5	94469849
5-Mar-13	153.66	154.7	153.64	154.29	121663035
4-Mar-13	151.76	152.92	151.52	152.92	99010157
1-Mar-13	151.09	152.34	150.41	152.11	170634729
28-Feb-13	151.9	152.87	151.41	151.61	126865910
27-Feb-13	149.89	152.33	149.76	151.91	150781872
26-Feb-13	149.72	150.2	148.73	150.02	186596178
25-Feb-13	152.63	152.86	149	149	245824757
22-Feb-13	151.15	151.89	150.49	151.89	106356525
21-Feb-13	150.96	151.42	149.94	150.42	183256921
20-Feb-13	153.14	153.19	151.26	151.34	160574782
19-Feb-13	152.37	153.28	152.16	153.25	95105396
15-Feb-13	152.43	152.59	151.55	152.11	215226408
14-Feb-13	151.69	152.47	151.52	152.29	80834206
13-Feb-13	152.33	152.61	151.72	152.15	82322561
12-Feb-13	151.78	152.3	151.61	152.02	65392613
11-Feb-13	151.74	151.9	151.39	151.77	73774925
8-Feb-13	151.22	151.89	151.22	151.8	103133681
7-Feb-13	151.2	151.35	149.86	150.96	162489974
6-Feb-13	150.52	151.26	150.41	151.16	138762719
5-Feb-13	150.35	151.48	150.29	151.05	113912334
4-Feb-13	150.32	151.27	149.43	149.54	159073559
1-Feb-13	150.65	151.42	150.39	151.24	131172997
31-Jan-13	149.89	150.38	149.6	149.7	108975801
30-Jan-13	150.64	150.94	149.93	150.07	137447625
29-Jan-13	149.77	150.85	149.67	150.66	105694364
